NPDES_ID,ENF_IDENTIFIER,ACTIVITY_ID,ACTIVITY_TYPE_CODE,ENF_TYPE_CODE,ENF_TYPE_DESC,AGENCY,SETTLEMENT_ENTERED_DATE,FED_PENALTY_ASSESSED_AMT,STATE_LOCAL_PENALTY_AMT,FAC_NAME,FAC_STREET,FAC_CITY,FAC_STATE,FAC_ZIP,FAC_COUNTY,FAC_EPA_REGION,FAC_LAT,FAC_LONG,FAC_DERIVED_WBD,FAC_DERIVED_CD113,FAC_PERCENT_MINORITY,FAC_POP_DEN,FAC_DERIVED_HUC,FAC_SIC_CODES,FAC_NAICS_CODES,DFR_URL
FLU930556,04-1993-N038,2400277640,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,10/16/1995,42000,,PLAZA MATERIALS CORPORATION,UNKNOWN,UNKNOWN,FL,0,PASCO,4,28.302024,-82.455707,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110011332584
FLU970089,04-1997-N078,2400279306,AFR,309A,CWA 309A AO For Compliance,EPA,09/02/1997,,,PITTS TRUCKING,UNKNOWN,UNKNOWN,FL,0,POLK,4,27.953115,-81.692783,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110011332049
FLU044776,04-2004-N014,2400273051,AFR,309A,CWA 309A AO For Compliance,EPA,04/01/2004,,,SANCTUARY @ WEST HAVEN-BEAZER,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,1521,,http://echo.epa.gov/detailed-facility-report?fid=110016759435
FLU990520,04-1999-N023,2400279621,AFR,309A,CWA 309A AO For Compliance,EPA,10/14/1998,,,DEFENDER YACHT CORPORATION,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110011331923
FLU990520,04-1999-N031,2400279620,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,,,,DEFENDER YACHT CORPORATION,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110011331923
FLR10TE28,FL-20-1674,3602694175,AFR,SCWAAPO,State CWA Penalty AO,State,04/21/2021,,26144,HIDDEN CREEK PHASES 1 & 2,35353 EILAND BLVD,ZEPHYRHILLS,FL,33541,PASCO,4,28.24594,-82.23073,31002050205,12,12.905,917.19,3100205,,,http://echo.epa.gov/detailed-facility-report?fid=110070207645
FLU044781,04-2004-N016,2400273037,AFR,309A,CWA 309A AO For Compliance,EPA,04/01/2004,,,PARKSIDE @ ERROL ESTATES,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,1521,,http://echo.epa.gov/detailed-facility-report?fid=110016759266
FLU024517,04-2002-N014,2400279890,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,02/20/2003,2200,,M&M USED AUTO,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110012676452
FLR10PG37,04-2016-4780,3600795614,AFR,309A,CWA 309A AO For Compliance,EPA,08/22/2016,,,BRADFORD CREEK,UNKNOWN,WINTER GARDEN,FL,34787,ORANGE COUNTY,4,28.537528,-81.589333,30801020301,10,44.422,1820.82,3080102,,,http://echo.epa.gov/detailed-facility-report?fid=110064772651
FLU980020,04-1998-N059,2400279607,AFR,309A,CWA 309A AO For Compliance,EPA,07/07/1998,,,TALLAHASSEE LK BRADFORD WRF,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,4952,,http://echo.epa.gov/detailed-facility-report?fid=110009137727
FLR20EO49,FL-21-1018,3603001532,AFR,SCWAAPO,State CWA Penalty AO,State,12/17/2021,,19500,WAWA BAYMEADOWS GROVE PARK,1412 GROVE PARK BLVD,JACKSONVILLE,FL,32216,DUVAL,4,30.29228,-81.56998,30801031503,4,41.01,2856.57,3080103,,,http://echo.epa.gov/detailed-facility-report?fid=110071065934
FLU044774,04-2004-N012,2400273049,AFR,309A,CWA 309A AO For Compliance,EPA,04/01/2004,,,CUMBRIAN LAKES-BEAZER HOMES,UNKNOWN,UNKNOWN,FL,0,OSCEOLA,4,28.27281,-81.468053,30901010302,9,58.193,850.6,3090101,1521,,http://echo.epa.gov/detailed-facility-report?fid=110016759676
FLR20CD17,FL-18-1340,3602211828,AFR,SCWAAPO,State CWA Penalty AO,State,11/08/2018,,4000,BELLA OAKS,4068 CARLISLE DR,PORT ORANGE,FL,32129,VOLUSIA,4,29.13646,-81.03329,30802010102,6,14.188,2019.92,3080201,,,http://echo.epa.gov/detailed-facility-report?fid=110070265738
FLU054809,04-2005-N016,2400278183,AFR,309A,CWA 309A AO For Compliance,EPA,09/19/2005,,,"DEER RIDGE ESTATES, HOME PLACE",UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,1521,,http://echo.epa.gov/detailed-facility-report?fid=110022856863
FLR10PQ84,FL-16-1325,3601091568,AFR,SCWAAPO,State CWA Penalty AO,State,10/14/2016,,3750,FBCN CHILDREN'S BUILDING,UNKNOWN,NICEVILLE,FL,32578,OKALOOSA COUNTY,4,30.516639,-86.482778,31401020604,1,16.336,920.29,3140102,,,http://echo.epa.gov/detailed-facility-report?fid=110067019005
FLU044772,04-2004-N010,2400273047,AFR,309A,CWA 309A AO For Compliance,EPA,04/01/2004,,,BEAZER HOMES-PALMA VISTA (@ ME,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,1521,,http://echo.epa.gov/detailed-facility-report?fid=110016759658
FLG110089,FL-N00000636,2400279427,AFR,SCWAAPO,State CWA Penalty AO,State,,,,"CEMEX CONSTRUCTION MATERIALS FLORIDA, LLC - HUDSON FACILITY",8519 NEW YORK AVE,HUDSON,FL,34667,PASCO,4,28.376328,-82.673702,31002070306,12,8.998,1118.72,3100207,3273,327320,http://echo.epa.gov/detailed-facility-report?fid=110010051709
FL0102202,FL-N00000386,2400279389,AFR,STAOCO,State Administrative Order of Consent,State,01/05/2009,,110550,PACE WASTEWATER RECLAMATION PLANT,HWY 197A,PACE,FL,32571,SANTA ROSA,4,30.595833,-87.1825,31403050602,1,10.359,517.01,3140305,4952,221320 22132,http://echo.epa.gov/detailed-facility-report?fid=110010043210
FL0102202,FL-12-0936,3400043660,AFR,SCWAAPO,State CWA Penalty AO,State,08/08/2012,,33750,PACE WASTEWATER RECLAMATION PLANT,HWY 197A,PACE,FL,32571,SANTA ROSA,4,30.595833,-87.1825,31403050602,1,10.359,517.01,3140305,4952,221320 22132,http://echo.epa.gov/detailed-facility-report?fid=110010043210
FL0102202,FL-16-1394,3600965457,AFR,SCWAAPO,State CWA Penalty AO,State,02/22/2017,,1000,PACE WASTEWATER RECLAMATION PLANT,HWY 197A,PACE,FL,32571,SANTA ROSA,4,30.595833,-87.1825,31403050602,1,10.359,517.01,3140305,4952,221320 22132,http://echo.epa.gov/detailed-facility-report?fid=110010043210
FL0102202,04-1998-N025,2400279391,AFR,309A,CWA 309A AO For Compliance,EPA,04/09/1998,,,PACE WASTEWATER RECLAMATION PLANT,HWY 197A,PACE,FL,32571,SANTA ROSA,4,30.595833,-87.1825,31403050602,1,10.359,517.01,3140305,4952,221320 22132,http://echo.epa.gov/detailed-facility-report?fid=110010043210
FL0102202,FL-N00000344,2400279390,AFR,STAOCO,State Administrative Order of Consent,State,09/04/2008,,110550,PACE WASTEWATER RECLAMATION PLANT,HWY 197A,PACE,FL,32571,SANTA ROSA,4,30.595833,-87.1825,31403050602,1,10.359,517.01,3140305,4952,221320 22132,http://echo.epa.gov/detailed-facility-report?fid=110010043210
FLU044766,04-2004-N007,2400273097,AFR,309A,CWA 309A AO For Compliance,EPA,04/07/2004,,,WENTWORTH,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,1521,,http://echo.epa.gov/detailed-facility-report?fid=110016759621
FLU990700,FL-N00000063,2400279691,AFR,SCWAAPO,State CWA Penalty AO,State,05/28/1998,,10000,WILLIAMS MARINE CONSTRUCTION,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110011331479
