CaseNumber,CaseName,CaseCategoryDesc,CaseStatusDesc,PrimaryLaw,PrimarySection,DateFiled,SettlementDate,FedPenalty,SEPCost,TotalCompActionAmt,SettlementCnt
02-2011-0016,"NVR, Inc. d/b/a Ryan Homes (NC - no NLPs)",Judicial,Final Order Entered,CWA,301/402,06/15/2017,09/07/2017,425000,0,2008003,1
04-1975-0001,ALTON BOX BOARD,Judicial,Closed,CWA,301,05/22/1975,02/28/1977,5000,0,0,1
04-1976-0004,HUDSON PULP & PAPER,Judicial,Closed,CWA,301,04/07/1977,04/07/1977,36780,0,0,1
04-1976-0005,JACKSONVILL SUB-UTIL,Judicial,Closed,CWA,402,01/18/1979,05/20/1983,1000,0,0,2
04-1976-0008,SOUTHERN UTILITIES,Judicial,Closed,CWA,CWA,03/10/1977,07/13/1977,1000,0,0,1
04-1976-0009,ST. PETERSBURG BEACH,Judicial,Closed,CWA,CWA,08/31/1976,04/21/1981,6000,0,0,1
04-1976-0010,SWIFT AGRI. CHEM,Judicial,Closed,CWA,CWA,07/27/1976,05/17/1977,2000,0,0,1
04-1976-0021,AMERICAN CYANAMID CORP,Judicial,Closed,CWA,301,03/03/1976,03/08/1976,10000,0,0,1
04-1977-0005,ITT RAYONIER,Judicial,Closed,CWA,301,11/16/1977,12/07/1978,10680,0,0,1
04-1977-0011,TAMPA MUN. INCINER.,Judicial,Closed,CWA,CWA,09/08/1977,02/23/1979,2500,0,0,1
04-1977-0021,PUNTA GORDA STP,Judicial,Closed,CWA,CWA,07/14/1977,06/10/1981,10000,0,0,1
04-1977-0039,JACKSONVILLE-BUCKMAN,Judicial,Closed,CWA,301,01/10/1979,05/20/1983,300000,0,0,1
04-1978-0003,FLORIDA POWER CORP.,Judicial,Closed,CWA,301,02/09/1978,08/31/1979,200000,0,0,1
04-1978-0004,JACKSONVILLE DIST II STP,Judicial,Closed,CWA,301,01/10/1979,05/20/1983,200000,0,0,1
04-1978-0032,ORANGE CNTY/ST FLORI,Judicial,Closed,CWA,301A,04/20/1979,12/05/1980,200000,0,0,1
04-1980-0004,"HOFFMAN, PAUL / CAMILLE HOFFMAN / LINTON INTRACOASTAL CORP. / SAUL SLOSSBERG",Judicial,Closed,CWA,404,01/11/1980,08/10/1982,3000,0,0,1
04-1980-0041,ADCOM METALS CO INC,Judicial,Closed,CWA,301,03/11/1983,03/16/1983,15000,0,0,1
04-1980-0049,TAMPA EL-HOOKERS PT,Judicial,Closed,CWA,CWA,05/18/1983,06/09/1983,15000,0,0,1
04-1984-0002,COCA-COLA CO.,Judicial,Closed,CWA,301,07/31/1984,09/24/1987,50000,0,0,1
04-1984-0010,"ORLANDO, CITY OF - IRON BRIDGE CREEK WTP",Judicial,Closed,CWA,301A,09/21/1984,06/26/1985,90000,0,0,1
04-1984-0015,HOMER SMITH SEAFOOD,Judicial,Closed,CWA,301,04/25/1986,09/19/1986,20000,0,0,1
04-1984-0023,"CENTURY UTILITIES, INC.",Judicial,Closed,CWA,301A,08/27/1985,07/31/1986,0,0,0,1
04-1985-0012,"KEY WEST FLORIDA, CITY OF",Judicial,Closed,CWA,301A,10/21/1985,06/23/1986,800000,0,0,1
04-1986-0043,"GENERAL DEVELOPMENT UTILITIES, INC._(SILVER SPRINGS SHORES)",Judicial,Closed,CWA,309,09/23/1987,12/15/1987,90000,0,0,1
04-1986-0068,ITT RAYONIER INC.,Judicial,Closed,CWA,301,04/24/1987,01/12/1989,10000,0,0,1
04-1986-0069,JACQUIN-FLORIDA DISTILLING CORP,Judicial,Closed,CWA,301,08/24/1987,12/06/1988,120000,0,0,1
04-1986-0070,"HILLSBOROUGH COUNTY FLORIDA, ET AL., RIVER OAKS AWWTP",Judicial,Closed,CWA,301,08/19/1987,10/22/1987,180000,0,0,1
